PromotionID,PromotionName,PromotionAmount
101,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,50
102,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,100
103,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,200
104,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,1500
105,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,250
106,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,150
107,Anniversary Event-Choose 27 packs of dried noodles for $999,216
108,Anniversary Event-Choose 27 packs of dried noodles for $999,432
109,Anniversary Event-Choose 4 jars of jam for $999,121
110,Anniversary Event-Choose 27 packs of dried noodles for $999,337
111,Anniversary Event-Choose 4 jars of jam for $999,337
112,Anniversary Event-Choose 4 jars of jam for $999,130
113,Anniversary Event-Choose 4 jars of jam for $999,157
114,Anniversary Event-Choose 27 packs of dried noodles for $999,346
115,Anniversary Event-Choose 4 jars of jam for $999,346
116,Anniversary Event-Choose 27 packs of dried noodles for $999,2376
117,Anniversary Event-Choose 27 packs of dried noodles for $999,528
118,Anniversary Event-Choose 27 packs of dried noodles for $999,355
119,Anniversary Event-Choose 4 jars of jam for $999,355
120,Anniversary Event-Choose 27 packs of dried noodles for $999,1073
121,Anniversary Event-Choose 4 jars of jam for $999,1073
122,Anniversary Event-Choose 4 jars of jam for $999,373
123,Anniversary Event-Choose 27 packs of dried noodles for $999,373
124,Anniversary Event-Choose 4 jars of jam for $999,139
125,Anniversary Event-Choose 27 packs of dried noodles for $999,648
126,Anniversary Event-Choose 4 jars of jam for $999,364
127,Anniversary Event-Choose 27 packs of dried noodles for $999,364
128,Anniversary Event-Choose 27 packs of dried noodles for $999,275
129,Anniversary Event-Choose 27 packs of dried noodles for $999,864
130,Anniversary Event-Choose 4 jars of jam for $999,189
131,Anniversary Event-Choose 27 packs of dried noodles for $999,562
132,Anniversary Event-Choose 4 jars of jam for $999,562
133,Anniversary Event-Choose 4 jars of jam for $999,242
134,Anniversary Event-Choose 4 jars of jam for $999,396
135,Anniversary Event-Choose 27 packs of dried noodles for $999,396
136,Anniversary Event-Choose 4 jars of jam for $999,405
137,Anniversary Event-Choose 27 packs of dried noodles for $999,405
138,Anniversary Event-Choose 4 jars of jam for $999,148
139,Anniversary Event-Choose 4 jars of jam for $999,248
140,Anniversary Event-Choose 27 packs of dried noodles for $999,607
141,Anniversary Event-Choose 4 jars of jam for $999,607
142,Anniversary Event-Choose 4 jars of jam for $999,185
143,Anniversary Event-Choose 27 packs of dried noodles for $999,420
144,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,300
145,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,2340
146,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,270
147,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,750
148,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,500
149,Choose 20 packs of dried noodles for $850 or 30 packs for $1250,400
150,1111-Choose 8 boxes of hot pot food for $1111,461
151,1111-Choose 8 boxes of hot pot food for $1111,352
152,1111-Choose 27 packs of noodles for $1111,239
153,1111-Choose 8 boxes of hot pot food for $1111,322
154,1111-Choose 8 boxes of hot pot food for $1111,256
155,1111-Choose 8 boxes of hot pot food for $1111,481
156,1111-Choose 8 boxes of hot pot food for $1111,289
157,1111-Choose 27 packs of noodles for $1111,555
158,1111-Choose 5 jars of jam for $1111,555
159,1111-Choose 8 boxes of hot pot food for $1111,137
160,1111-Choose 27 packs of noodles for $1111,624
161,1111-Choose 8 boxes of hot pot food for $1111,624
162,1111-Choose 8 boxes of hot pot food for $1111,441
163,1111-Choose 8 boxes of hot pot food for $1111,686
164,1111-Choose 5 jars of jam for $1111,686
165,1111-Choose 8 boxes of hot pot food for $1111,266
166,1111-Choose 8 boxes of hot pot food for $1111,428
167,1111-Choose 8 boxes of hot pot food for $1111,309
168,1111-Choose 8 boxes of hot pot food for $1111,608
169,1111-Choose 8 boxes of hot pot food for $1111,462
170,1111-Choose 27 packs of noodles for $1111,462
171,1111-Choose 8 boxes of hot pot food for $1111,279
172,1111-Choose 8 boxes of hot pot food for $1111,213
173,1111-Choose 5 jars of jam for $1111,257
174,1111-Choose 5 jars of jam for $1111,84
175,1111-Choose 8 boxes of hot pot food for $1111,418
176,1111-Choose 8 boxes of hot pot food for $1111,680
177,1111-Choose 27 packs of noodles for $1111,680
178,1111-Choose 5 jars of jam for $1111,289
179,1111-Choose 27 packs of noodles for $1111,478
180,1111-Choose 5 jars of jam for $1111,334
181,1111-Choose 8 boxes of hot pot food for $1111,223
182,1111-Choose 8 boxes of hot pot food for $1111,421
183,1111-Choose 8 boxes of hot pot food for $1111,342
184,1111-Choose 8 boxes of hot pot food for $1111,236
185,1111-Choose 8 boxes of hot pot food for $1111,355
186,1111-Choose 8 boxes of hot pot food for $1111,365
187,1111-Choose 8 boxes of hot pot food for $1111,375
188,1111-Choose 8 boxes of hot pot food for $1111,408
189,1111-Choose 5 jars of jam for $1111,487
190,1111-Choose 27 packs of noodles for $1111,487
191,1111-Choose 5 jars of jam for $1111,611
192,1111-Choose 8 boxes of hot pot food for $1111,611
193,1111-Choose 5 jars of jam for $1111,629
194,1111-Choose 8 boxes of hot pot food for $1111,629
195,1111-Choose 8 boxes of hot pot food for $1111,299
196,1111-Choose 5 jars of jam for $1111,216
197,1111-Choose 8 boxes of hot pot food for $1111,203
198,1111-Choose 8 boxes of hot pot food for $1111,622
199,1111-Choose 5 jars of jam for $1111,622
200,1111-Choose 27 packs of noodles for $1111,1141
201,1111-Choose 8 boxes of hot pot food for $1111,1141
202,1111-Choose 8 boxes of hot pot food for $1111,332
203,1111-Choose 8 boxes of hot pot food for $1111,335
204,1111-Choose 8 boxes of hot pot food for $1111,693
205,1111-Choose 5 jars of jam for $1111,693
206,1111-Choose 27 packs of noodles for $1111,604
207,1111-Choose 8 boxes of hot pot food for $1111,604
208,1111-Choose 5 jars of jam for $1111,225
209,1111-Choose 8 boxes of hot pot food for $1111,584
210,1111-Choose 27 packs of noodles for $1111,584
211,1111-Choose 8 boxes of hot pot food for $1111,834
212,1111-Choose 8 boxes of hot pot food for $1111,451
213,1111-Choose 27 packs of noodles for $1111,508
214,1111-Choose 8 boxes of hot pot food for $1111,508
215,1111-Choose 8 boxes of hot pot food for $1111,170
216,1111-Choose 8 boxes of hot pot food for $1111,246
217,1111-Choose 5 jars of jam for $1111,298
218,1111-Choose 5 jars of jam for $1111,639
219,1111-Choose 8 boxes of hot pot food for $1111,639
220,1111-Choose 8 boxes of hot pot food for $1111,898
221,1111-Choose 27 packs of noodles for $1111,898
222,1111-Choose 5 jars of jam for $1111,898
223,1111-Choose 8 boxes of hot pot food for $1111,751
224,1111-Choose 27 packs of noodles for $1111,751
225,1111-Choose 8 boxes of hot pot food for $1111,452
226,1111-Choose 27 packs of noodles for $1111,452
227,1111-Choose 5 jars of jam for $1111,528
228,1111-Choose 27 packs of noodles for $1111,528
229,1111-Choose 27 packs of noodles for $1111,916
230,1111-Choose 8 boxes of hot pot food for $1111,916
231,1111-Choose 8 boxes of hot pot food for $1111,528
232,1111-Choose 8 boxes of hot pot food for $1111,269
233,1111-Choose 27 packs of noodles for $1111,373
234,1111-Choose 5 jars of jam for $1111,373
235,1111-Choose 8 boxes of hot pot food for $1111,546
236,1111-Choose 5 jars of jam for $1111,546
237,1111-Choose 27 packs of noodles for $1111,837
238,1111-Choose 8 boxes of hot pot food for $1111,837
239,1111-Choose 27 packs of noodles for $1111,495
240,1111-Choose 8 boxes of hot pot food for $1111,495
241,1111-Choose 8 boxes of hot pot food for $1111,312
242,1111-Choose 8 boxes of hot pot food for $1111,618
243,1111-Choose 5 jars of jam for $1111,630
244,1111-Choose 8 boxes of hot pot food for $1111,630
245,1111-Choose 8 boxes of hot pot food for $1111,431
246,1111-Choose 8 boxes of hot pot food for $1111,471
247,1111-Choose 5 jars of jam for $1111,471
248,1111-Choose 5 jars of jam for $1111,284
249,1111-Choose 27 packs of noodles for $1111,442
250,1111-Choose 8 boxes of hot pot food for $1111,442
251,1111-Choose 5 jars of jam for $1111,266
252,1111-Choose 5 jars of jam for $1111,184
253,1111-Choose 5 jars of jam for $1111,307
254,1111-Choose 8 boxes of hot pot food for $1111,439
255,1111-Choose 8 boxes of hot pot food for $1111,460
256,1111-Choose 5 jars of jam for $1111,460
257,1111-Choose 8 boxes of hot pot food for $1111,274
258,1111-Choose 5 jars of jam for $1111,207
259,1111-Choose 27 packs of noodles for $1111,376
260,1111-Choose 8 boxes of hot pot food for $1111,376
261,1111-Choose 5 jars of jam for $1111,643
262,1111-Choose 8 boxes of hot pot food for $1111,643
263,1111-Choose 27 packs of noodles for $1111,643
264,Grouponly-Choose 5 jars of jam for$1111,225
265,Grouponly-Choose 8 boxes of hot pot food for $1111,556
266,Grouponly-Choose 5 jars of jam for$1111,556
267,Grouponly-Choose 8 boxes of hot pot food for $1111,137
268,Grouponly-Choose 8 boxes of hot pot food for $1111,375
269,Grouponly-Choose 27 packages of noodles for $1111,239
270,Grouponly-Choose 5 jars of jam for$1111,593
271,Grouponly-Choose 8 boxes of hot pot food for $1111,593
272,Grouponly-Choose 8 boxes of hot pot food for $1111,170
273,Grouponly-Choose 8 boxes of hot pot food for $1111,236